Thu Dec 14 16:36:16 +0000 2017	941346109389262849	@Galsinha Boa tarde, Caroline! O ar-condicionado deveria estar ligado. Registre uma denuncia no fone 118.
Thu Dec 14 16:29:24 +0000 2017	941344380614475776	@Caroldelwing Boa tarde, Carolina! Já deveriam estar funcionando. Denúncias no fone 118.
Thu Dec 14 16:22:59 +0000 2017	941342768076656640	14h22 - Mais um veículo em pane mecânica na Av. da Legalidade e da Democracia, sentido interior-Capital. Um ônibus… https://t.co/Mo3uNApH74
Thu Dec 14 16:00:22 +0000 2017	941337076305448960	Trânsito e transporte para o Lance de Craque neste sábado: evento ocorre a partir das 20h, no Beira-Rio, com previs… https://t.co/PJCLDcZCzR
Thu Dec 14 15:58:22 +0000 2017	941336570816278528	RT @vidaurgente: Coloque a vida sempre em primeiro lugar! Ao entrar no carro, coloque o cinto de segurança, inclusive no banco de trás! #cu…
Thu Dec 14 15:41:48 +0000 2017	941332401929752576	13h41 - Acidente entre dois carros na R. José de Alencar esq. R. Oscar Bittencourt, sentido centro-bairro. SAMU a caminho. EPTC no local.
Thu Dec 14 15:21:39 +0000 2017	941327332605820928	13h21 - Trânsito fluindo bem entre as avenidas Eduardo Prado e Cavalhada, sentido bairro-centro.
Thu Dec 14 15:02:15 +0000 2017	941322450557652992	@juangbromero Boa tarde, Juan! Obrigada pelo relato, estamos verificando.
Thu Dec 14 15:00:48 +0000 2017	941322085728702464	13h - Carro em pane mecânica no acesso a Porto Alegre p/ Av. da Legalidade e da Democracia, sentido interior-Capital.
Thu Dec 14 14:58:44 +0000 2017	941321564452159488	RT @Trensurb: #TrensurbInforma Trens e aeromóvel seguem operando normalmente.
Thu Dec 14 14:39:13 +0000 2017	941316652326678528	12h39 - Trânsito fluindo bem nos dois sentidos do Túnel da Conceição.
Thu Dec 14 14:08:07 +0000 2017	941308824752926720	12h07 - Serviço foi realizado pela EPTC e semáforo do cruzamento da Av. Baltazar de Oliveira Garcia x Manoel Elias… https://t.co/CQfoPBqpgu
Thu Dec 14 13:36:31 +0000 2017	941300872612581380	11h35 - Trânsito acentuado nos dois sentidos da Av. Protásio Alves x Antônio de Carvalho.
Thu Dec 14 13:17:15 +0000 2017	941296024236253184	11h17 - Semáforo com problemas no cruzamento da Av. Baltazar de Oliveira Garcia x Manoel Elias.
Thu Dec 14 12:53:32 +0000 2017	941290057629093888	10h53 - Semáforo com problemas no cruzamento da Av. Cristóvão Colombo x Dr. Timóteo.
Thu Dec 14 12:27:36 +0000 2017	941283530448961536	10h28 - Trânsito acentuado no sentido bairro/centro da Av. da Cavalhada x Otto Niemeyer.
Thu Dec 14 11:59:25 +0000 2017	941276438258470912	09h59 - Trânsito fluindo bem nos dois sentidos do Túnel da Conceição.
Thu Dec 14 11:39:58 +0000 2017	941271543174320128	RT @triunfoconcepa: Içamento do vão móvel da Ponte do Guaíba concluído. Trânsito ainda lento na região.
Thu Dec 14 11:31:26 +0000 2017	941269396609208320	09h31 - Trânsito acentuado na chegada à Capital pela Av. da Legalidade e da Democracia.
Thu Dec 14 10:58:55 +0000 2017	941261214298071040	08h58 - Atropelamento por moto na Av. Baltazar de Oliveira Garcia, próx. a R. João Bravo de Almeida. EPTC no local,… https://t.co/KbdiAlKc0J
Thu Dec 14 10:51:05 +0000 2017	941259240831881217	08h51 - Trânsito acentuado nos dois sentidos da Av. Ipiranga, próx. a PUC.
Thu Dec 14 10:24:03 +0000 2017	941252437675053056	08h24 - Trânsito acentuado nos dois sentidos da Av. Bento Gonçalves x Estr. João de Oliveira Remião.
Thu Dec 14 10:04:44 +0000 2017	941247577328095232	08h04 - Carro em pane mecânica na elevada do viaduto da Conceição, um pouco antes da entrada do Túnel da Conceição,… https://t.co/KIQ4T9DOs8
Thu Dec 14 09:56:29 +0000 2017	941245502007468032	07h56 - Trânsito intenso nos dois sentidos da Av. Carlos Gomes x Campos Sales.
Thu Dec 14 09:35:02 +0000 2017	941240103489372160	07h32 - Trânsito intenso na chegada à Capital pela Av. da Legalidade e da Democracia.
Thu Dec 14 09:07:25 +0000 2017	941233150637821953	07h07 - Acidente entre dois carros e um ônibus no corredor da Av. Cel. Aparício Borges, próx. a R. Pedro Boticário.… https://t.co/DDuvhd5Axy
Thu Dec 14 09:00:06 +0000 2017	941231312077287424	07h00 - Bom dia! Trânsito intenso no sentido bairro/centro da Av. Protário Alves x Ary Tarragô.
Wed Dec 13 20:27:07 +0000 2017	941041816006266883	18h27 - Trânsito lento no sentido centro/bairro da Av. Wenceslau Escobar x Otto Niemeyer.
Wed Dec 13 20:11:50 +0000 2017	941037970865434625	Via liberada. Trânsito acentuado, com pontos de lentidão na via.
Wed Dec 13 20:09:30 +0000 2017	941037383000252416	18h08 - Carro em pane mecânica na chegada à Capital pela Av. da Legalidade e da Democracia. https://t.co/OuwBeN3wWO
Wed Dec 13 19:57:58 +0000 2017	941034480751521795	17h55 - Atropelamento por moto na Av. Paulo Gama, próx. a Av. Osvaldo Aranha. EPTC e SAMU no local.
Wed Dec 13 19:51:27 +0000 2017	941032842431262722	17h52 - Trânsito lento nos dois sentidos do Túnel da Conceição.
Wed Dec 13 19:35:21 +0000 2017	941028788930072577	Correção: Acidente ocorreu no sentido bairro/centro do Túnel da Conceição. Segue bloqueio de uma faixa no local por… https://t.co/2aMsfUKL4f
Wed Dec 13 19:33:38 +0000 2017	941028355360612352	17h33 - Trânsito lento na saída da Capital pela Av. da Legalidade e da Democracia.
Wed Dec 13 19:25:53 +0000 2017	941026404963160064	Correção: Foi uma queda de moto. Trânsito lento na Av. Tramandaí, próx. a Praça Alberto Pasqualine.
Wed Dec 13 19:24:48 +0000 2017	941026136267640838	SAMU e EPTC no local.
Wed Dec 13 19:08:08 +0000 2017	941021940944392192	17h07 - Acidente entre carro x moto na Av. Tramandaí, próx. a Praça Alberto Pasqualine.
